provincia,delitos_de_mayor_incidencia,fecha,denuncias
BOLIVAR,Robo a personas,2020-02-01,12
BOLIVAR,"Robo de bienes, accesorios y autopartes de vehículos",2020-02-01,6
BOLIVAR,Robo de motos,2020-02-01,2
BOLIVAR,Robo de carros,2020-02-01,3
BOLIVAR,Robo a domicilio,2020-02-01,5
BOLIVAR,Robo a unidades económicas,2020-02-01,1
CANAR,Robo a personas,2020-02-01,22
CANAR,"Robo de bienes, accesorios y autopartes de vehículos",2020-02-01,9
CANAR,Robo de motos,2020-02-01,8
CANAR,Robo de carros,2020-02-01,3
CANAR,Robo a domicilio,2020-02-01,14
CANAR,Robo a unidades económicas,2020-02-01,3
CARCHI,Robo a personas,2020-02-01,4
CARCHI,"Robo de bienes, accesorios y autopartes de vehículos",2020-02-01,2
CARCHI,Robo de motos,2020-02-01,0
CARCHI,Robo de carros,2020-02-01,2
CARCHI,Robo a domicilio,2020-02-01,0
CARCHI,Robo a unidades económicas,2020-02-01,1
COTOPAXI,Robo a personas,2020-02-01,54
COTOPAXI,"Robo de bienes, accesorios y autopartes de vehículos",2020-02-01,13
COTOPAXI,Robo de motos,2020-02-01,2
COTOPAXI,Robo de carros,2020-02-01,8
COTOPAXI,Robo a domicilio,2020-02-01,15
COTOPAXI,Robo a unidades económicas,2020-02-01,11
CHIMBORAZO,Robo a personas,2020-02-01,65
CHIMBORAZO,"Robo de bienes, accesorios y autopartes de vehículos",2020-02-01,13
CHIMBORAZO,Robo de motos,2020-02-01,2
CHIMBORAZO,Robo de carros,2020-02-01,1
CHIMBORAZO,Robo a domicilio,2020-02-01,20
CHIMBORAZO,Robo a unidades económicas,2020-02-01,6
EL ORO,Robo a personas,2020-02-01,113
EL ORO,"Robo de bienes, accesorios y autopartes de vehículos",2020-02-01,4
EL ORO,Robo de motos,2020-02-01,46
EL ORO,Robo de carros,2020-02-01,15
EL ORO,Robo a domicilio,2020-02-01,29
EL ORO,Robo a unidades económicas,2020-02-01,29
ESMERALDAS,Robo a personas,2020-02-01,95
ESMERALDAS,"Robo de bienes, accesorios y autopartes de vehículos",2020-02-01,7
ESMERALDAS,Robo de motos,2020-02-01,15
ESMERALDAS,Robo de carros,2020-02-01,5
ESMERALDAS,Robo a domicilio,2020-02-01,33
ESMERALDAS,Robo a unidades económicas,2020-02-01,11
GUAYAS,Robo a personas,2020-02-01,936
GUAYAS,"Robo de bienes, accesorios y autopartes de vehículos",2020-02-01,230
GUAYAS,Robo de motos,2020-02-01,216
GUAYAS,Robo de carros,2020-02-01,157
GUAYAS,Robo a domicilio,2020-02-01,177
GUAYAS,Robo a unidades económicas,2020-02-01,76
IMBABURA,Robo a personas,2020-02-01,44
IMBABURA,"Robo de bienes, accesorios y autopartes de vehículos",2020-02-01,12
IMBABURA,Robo de motos,2020-02-01,4
IMBABURA,Robo de carros,2020-02-01,5
IMBABURA,Robo a domicilio,2020-02-01,33
IMBABURA,Robo a unidades económicas,2020-02-01,14
LOJA,Robo a personas,2020-02-01,34
LOJA,"Robo de bienes, accesorios y autopartes de vehículos",2020-02-01,7
LOJA,Robo de motos,2020-02-01,2
LOJA,Robo de carros,2020-02-01,0
LOJA,Robo a domicilio,2020-02-01,17
LOJA,Robo a unidades económicas,2020-02-01,8
LOS RIOS,Robo a personas,2020-02-01,142
LOS RIOS,"Robo de bienes, accesorios y autopartes de vehículos",2020-02-01,10
LOS RIOS,Robo de motos,2020-02-01,87
LOS RIOS,Robo de carros,2020-02-01,25
LOS RIOS,Robo a domicilio,2020-02-01,39
LOS RIOS,Robo a unidades económicas,2020-02-01,25
MANABI,Robo a personas,2020-02-01,91
MANABI,"Robo de bienes, accesorios y autopartes de vehículos",2020-02-01,14
MANABI,Robo de motos,2020-02-01,42
MANABI,Robo de carros,2020-02-01,43
MANABI,Robo a domicilio,2020-02-01,52
MANABI,Robo a unidades económicas,2020-02-01,26
MORONA SANTIAGO,Robo a personas,2020-02-01,4
MORONA SANTIAGO,"Robo de bienes, accesorios y autopartes de vehículos",2020-02-01,1
MORONA SANTIAGO,Robo de motos,2020-02-01,1
MORONA SANTIAGO,Robo de carros,2020-02-01,0
MORONA SANTIAGO,Robo a domicilio,2020-02-01,8
MORONA SANTIAGO,Robo a unidades económicas,2020-02-01,1
NAPO,Robo a personas,2020-02-01,9
NAPO,"Robo de bienes, accesorios y autopartes de vehículos",2020-02-01,1
NAPO,Robo de motos,2020-02-01,1
NAPO,Robo de carros,2020-02-01,0
NAPO,Robo a domicilio,2020-02-01,6
NAPO,Robo a unidades económicas,2020-02-01,2
PASTAZA,Robo a personas,2020-02-01,4
PASTAZA,"Robo de bienes, accesorios y autopartes de vehículos",2020-02-01,1
PASTAZA,Robo de motos,2020-02-01,1
PASTAZA,Robo de carros,2020-02-01,0
PASTAZA,Robo a domicilio,2020-02-01,12
PASTAZA,Robo a unidades económicas,2020-02-01,3
PICHINCHA,Robo a personas,2020-02-01,680
PICHINCHA,"Robo de bienes, accesorios y autopartes de vehículos",2020-02-01,272
PICHINCHA,Robo de motos,2020-02-01,106
PICHINCHA,Robo de carros,2020-02-01,143
PICHINCHA,Robo a domicilio,2020-02-01,203
PICHINCHA,Robo a unidades económicas,2020-02-01,126
TUNGURAHUA,Robo a personas,2020-02-01,54
TUNGURAHUA,"Robo de bienes, accesorios y autopartes de vehículos",2020-02-01,25
TUNGURAHUA,Robo de motos,2020-02-01,4
TUNGURAHUA,Robo de carros,2020-02-01,3
TUNGURAHUA,Robo a domicilio,2020-02-01,28
TUNGURAHUA,Robo a unidades económicas,2020-02-01,15
ZAMORA CHINCHIPE,Robo a personas,2020-02-01,4
ZAMORA CHINCHIPE,"Robo de bienes, accesorios y autopartes de vehículos",2020-02-01,0
ZAMORA CHINCHIPE,Robo de motos,2020-02-01,0
ZAMORA CHINCHIPE,Robo de carros,2020-02-01,3
ZAMORA CHINCHIPE,Robo a domicilio,2020-02-01,4
ZAMORA CHINCHIPE,Robo a unidades económicas,2020-02-01,0
GALAPAGOS,Robo a personas,2020-02-01,0
GALAPAGOS,"Robo de bienes, accesorios y autopartes de vehículos",2020-02-01,0
GALAPAGOS,Robo de motos,2020-02-01,0
GALAPAGOS,Robo de carros,2020-02-01,0
GALAPAGOS,Robo a domicilio,2020-02-01,0
GALAPAGOS,Robo a unidades económicas,2020-02-01,1
SUCUMBIOS,Robo a personas,2020-02-01,33
SUCUMBIOS,"Robo de bienes, accesorios y autopartes de vehículos",2020-02-01,6
SUCUMBIOS,Robo de motos,2020-02-01,8
SUCUMBIOS,Robo de carros,2020-02-01,0
SUCUMBIOS,Robo a domicilio,2020-02-01,12
SUCUMBIOS,Robo a unidades económicas,2020-02-01,9
ORELLANA,Robo a personas,2020-02-01,11
ORELLANA,"Robo de bienes, accesorios y autopartes de vehículos",2020-02-01,3
ORELLANA,Robo de motos,2020-02-01,11
ORELLANA,Robo de carros,2020-02-01,5
ORELLANA,Robo a domicilio,2020-02-01,16
ORELLANA,Robo a unidades económicas,2020-02-01,5
SANTO DOMINGO DE LOS TSACHILAS,Robo a personas,2020-02-01,61
SANTO DOMINGO DE LOS TSACHILAS,"Robo de bienes, accesorios y autopartes de vehículos",2020-02-01,8
SANTO DOMINGO DE LOS TSACHILAS,Robo de motos,2020-02-01,27
SANTO DOMINGO DE LOS TSACHILAS,Robo de carros,2020-02-01,34
SANTO DOMINGO DE LOS TSACHILAS,Robo a domicilio,2020-02-01,28
SANTO DOMINGO DE LOS TSACHILAS,Robo a unidades económicas,2020-02-01,18
SANTA ELENA,Robo a personas,2020-02-01,46
SANTA ELENA,"Robo de bienes, accesorios y autopartes de vehículos",2020-02-01,10
SANTA ELENA,Robo de motos,2020-02-01,9
SANTA ELENA,Robo de carros,2020-02-01,11
SANTA ELENA,Robo a domicilio,2020-02-01,43
SANTA ELENA,Robo a unidades económicas,2020-02-01,2
NACIONAL,Robo a personas,2020-02-01,2614
NACIONAL,"Robo de bienes, accesorios y autopartes de vehículos",2020-02-01,708
NACIONAL,Robo de motos,2020-02-01,607
NACIONAL,Robo de carros,2020-02-01,475
NACIONAL,Robo a domicilio,2020-02-01,833
NACIONAL,Robo a unidades económicas,2020-02-01,410
AZUAY,Robo a personas,2020-03-01,35
AZUAY,"Robo de bienes, accesorios y autopartes de vehículos",2020-03-01,19
AZUAY,Robo de motos,2020-03-01,8
AZUAY,Robo de carros,2020-03-01,5
AZUAY,Robo a domicilio,2020-03-01,19
AZUAY,Robo a unidades económicas,2020-03-01,8
BOLIVAR,Robo a personas,2020-03-01,2
BOLIVAR,"Robo de bienes, accesorios y autopartes de vehículos",2020-03-01,2
BOLIVAR,Robo de motos,2020-03-01,2
BOLIVAR,Robo de carros,2020-03-01,1
BOLIVAR,Robo a domicilio,2020-03-01,4
BOLIVAR,Robo a unidades económicas,2020-03-01,2
CANAR,Robo a personas,2020-03-01,11
CANAR,"Robo de bienes, accesorios y autopartes de vehículos",2020-03-01,5
CANAR,Robo de motos,2020-03-01,4
CANAR,Robo de carros,2020-03-01,2
CANAR,Robo a domicilio,2020-03-01,10
CANAR,Robo a unidades económicas,2020-03-01,4
CARCHI,Robo a personas,2020-03-01,4
CARCHI,"Robo de bienes, accesorios y autopartes de vehículos",2020-03-01,1
CARCHI,Robo de motos,2020-03-01,0
CARCHI,Robo de carros,2020-03-01,1
CARCHI,Robo a domicilio,2020-03-01,1
CARCHI,Robo a unidades económicas,2020-03-01,0
COTOPAXI,Robo a personas,2020-03-01,9
COTOPAXI,"Robo de bienes, accesorios y autopartes de vehículos",2020-03-01,10
COTOPAXI,Robo de motos,2020-03-01,8
COTOPAXI,Robo de carros,2020-03-01,5
COTOPAXI,Robo a domicilio,2020-03-01,7
COTOPAXI,Robo a unidades económicas,2020-03-01,7
CHIMBORAZO,Robo a personas,2020-03-01,27
CHIMBORAZO,"Robo de bienes, accesorios y autopartes de vehículos",2020-03-01,15
CHIMBORAZO,Robo de motos,2020-03-01,3
CHIMBORAZO,Robo de carros,2020-03-01,3
CHIMBORAZO,Robo a domicilio,2020-03-01,7
CHIMBORAZO,Robo a unidades económicas,2020-03-01,5
EL ORO,Robo a personas,2020-03-01,53
EL ORO,"Robo de bienes, accesorios y autopartes de vehículos",2020-03-01,10
EL ORO,Robo de motos,2020-03-01,46
EL ORO,Robo de carros,2020-03-01,13
EL ORO,Robo a domicilio,2020-03-01,16
EL ORO,Robo a unidades económicas,2020-03-01,21
ESMERALDAS,Robo a personas,2020-03-01,52
ESMERALDAS,"Robo de bienes, accesorios y autopartes de vehículos",2020-03-01,0
ESMERALDAS,Robo de motos,2020-03-01,9
ESMERALDAS,Robo de carros,2020-03-01,1
ESMERALDAS,Robo a domicilio,2020-03-01,27
ESMERALDAS,Robo a unidades económicas,2020-03-01,5
GUAYAS,Robo a personas,2020-03-01,452
GUAYAS,"Robo de bienes, accesorios y autopartes de vehículos",2020-03-01,128
GUAYAS,Robo de motos,2020-03-01,131
GUAYAS,Robo de carros,2020-03-01,115
GUAYAS,Robo a domicilio,2020-03-01,88
GUAYAS,Robo a unidades económicas,2020-03-01,64
IMBABURA,Robo a personas,2020-03-01,22
IMBABURA,"Robo de bienes, accesorios y autopartes de vehículos",2020-03-01,14
IMBABURA,Robo de motos,2020-03-01,6
IMBABURA,Robo de carros,2020-03-01,2
IMBABURA,Robo a domicilio,2020-03-01,15
IMBABURA,Robo a unidades económicas,2020-03-01,5
LOJA,Robo a personas,2020-03-01,10
LOJA,"Robo de bienes, accesorios y autopartes de vehículos",2020-03-01,4
LOJA,Robo de motos,2020-03-01,0
LOJA,Robo de carros,2020-03-01,0
LOJA,Robo a domicilio,2020-03-01,10
LOJA,Robo a unidades económicas,2020-03-01,0
LOS RIOS,Robo a personas,2020-03-01,78
LOS RIOS,"Robo de bienes, accesorios y autopartes de vehículos",2020-03-01,7
LOS RIOS,Robo de motos,2020-03-01,67
LOS RIOS,Robo de carros,2020-03-01,17
LOS RIOS,Robo a domicilio,2020-03-01,17
LOS RIOS,Robo a unidades económicas,2020-03-01,26
MANABI,Robo a personas,2020-03-01,42
MANABI,"Robo de bienes, accesorios y autopartes de vehículos",2020-03-01,8
MANABI,Robo de motos,2020-03-01,24
MANABI,Robo de carros,2020-03-01,19
MANABI,Robo a domicilio,2020-03-01,42
MANABI,Robo a unidades económicas,2020-03-01,18
MORONA SANTIAGO,Robo a personas,2020-03-01,2
MORONA SANTIAGO,"Robo de bienes, accesorios y autopartes de vehículos",2020-03-01,0
MORONA SANTIAGO,Robo de motos,2020-03-01,1
MORONA SANTIAGO,Robo de carros,2020-03-01,0
MORONA SANTIAGO,Robo a domicilio,2020-03-01,3
MORONA SANTIAGO,Robo a unidades económicas,2020-03-01,0
NAPO,Robo a personas,2020-03-01,5
NAPO,"Robo de bienes, accesorios y autopartes de vehículos",2020-03-01,0
NAPO,Robo de motos,2020-03-01,1
NAPO,Robo de carros,2020-03-01,0
NAPO,Robo a domicilio,2020-03-01,7
NAPO,Robo a unidades económicas,2020-03-01,3
PASTAZA,Robo a personas,2020-03-01,7
PASTAZA,"Robo de bienes, accesorios y autopartes de vehículos",2020-03-01,3
PASTAZA,Robo de motos,2020-03-01,1
PASTAZA,Robo de carros,2020-03-01,0
PASTAZA,Robo a domicilio,2020-03-01,5
PASTAZA,Robo a unidades económicas,2020-03-01,1
PICHINCHA,Robo a personas,2020-03-01,307
PICHINCHA,"Robo de bienes, accesorios y autopartes de vehículos",2020-03-01,116
PICHINCHA,Robo de motos,2020-03-01,58
PICHINCHA,Robo de carros,2020-03-01,88
PICHINCHA,Robo a domicilio,2020-03-01,108
PICHINCHA,Robo a unidades económicas,2020-03-01,69
TUNGURAHUA,Robo a personas,2020-03-01,27
TUNGURAHUA,"Robo de bienes, accesorios y autopartes de vehículos",2020-03-01,12
TUNGURAHUA,Robo de motos,2020-03-01,1
TUNGURAHUA,Robo de carros,2020-03-01,3
TUNGURAHUA,Robo a domicilio,2020-03-01,15
TUNGURAHUA,Robo a unidades económicas,2020-03-01,10
ZAMORA CHINCHIPE,Robo a personas,2020-03-01,1
ZAMORA CHINCHIPE,"Robo de bienes, accesorios y autopartes de vehículos",2020-03-01,0
ZAMORA CHINCHIPE,Robo de motos,2020-03-01,0
ZAMORA CHINCHIPE,Robo de carros,2020-03-01,0
ZAMORA CHINCHIPE,Robo a domicilio,2020-03-01,4
ZAMORA CHINCHIPE,Robo a unidades económicas,2020-03-01,3
GALAPAGOS,Robo a personas,2020-03-01,0
GALAPAGOS,"Robo de bienes, accesorios y autopartes de vehículos",2020-03-01,0
GALAPAGOS,Robo de motos,2020-03-01,0
GALAPAGOS,Robo de carros,2020-03-01,0
GALAPAGOS,Robo a domicilio,2020-03-01,2
GALAPAGOS,Robo a unidades económicas,2020-03-01,0
