provincia,cantón,área_de_residencia,número_total_de_hogares,no_pobres,pobre_solo_por_dependencia_económica,pobre_solo_por_no_asistencia_a_clases_de_niños_en_edad_escolar,pobre_solo_por_características_físicas_inadecuadas_de_la_vivienda,pobre_solo_por_no_disponibilidad_de_servicios_básicos_de_la_vivienda,pobre_solo_por_estado_de_hacinamiento_del_hogar,pobre_por_carencia_en_dos_o_más_componentes
IMBABURA,Ibarra,Rural,17900,10078.0,345.0,57.0,244.0,3907,449.0,2820.0
IMBABURA,Antonio Ante,Urbana,7526,6388.0,114.0,26.0,66.0,447,280.0,205.0
IMBABURA,Antonio Ante,Rural,8298,5292.0,203.0,24.0,113.0,1427,293.0,946.0
IMBABURA,Cotacachi,Urbana,3318,2930.0,66.0,23.0,11.0,150,69.0,69.0
IMBABURA,Cotacachi,Rural,12427,4320.0,355.0,30.0,118.0,4675,237.0,2692.0
IMBABURA,Otavalo,Urbana,12378,10069.0,292.0,40.0,70.0,966,478.0,463.0
IMBABURA,Otavalo,Rural,19846,8178.0,736.0,86.0,285.0,5195,508.0,4858.0
IMBABURA,Pimampiro,Urbana,1999,1530.0,30.0,10.0,42.0,196,97.0,94.0
IMBABURA,Pimampiro,Rural,2428,965.0,46.0,8.0,61.0,690,53.0,605.0
IMBABURA,San Miguel de Urcuquí,Urbana,1415,1090.0,31.0,8.0,4.0,160,54.0,68.0
IMBABURA,San Miguel de Urcuquí,Rural,4126,1993.0,68.0,14.0,78.0,1044,140.0,789.0
LOJA,Loja,Urbana,61226,52592.0,501.0,274.0,391.0,3579,2125.0,1764.0
LOJA,Loja,Rural,14428,5915.0,156.0,39.0,304.0,4347,471.0,3196.0
LOJA,Calvas,Urbana,3894,3182.0,57.0,25.0,36.0,239,212.0,143.0
LOJA,Calvas,Rural,3895,873.0,36.0,5.0,143.0,830,50.0,1958.0
LOJA,Catamayo,Urbana,8099,6147.0,134.0,22.0,96.0,760,435.0,505.0
LOJA,Catamayo,Rural,2699,1043.0,63.0,5.0,46.0,804,68.0,670.0
LOJA,Celica,Urbana,1312,1107.0,15.0,4.0,17.0,81,60.0,28.0
LOJA,Celica,Rural,2961,707.0,21.0,3.0,84.0,958,52.0,1136.0
LOJA,Chaguarpamba,Urbana,415,334.0,9.0,4.0,6.0,18,33.0,11.0
LOJA,Chaguarpamba,Rural,1940,659.0,17.0,1.0,25.0,839,41.0,358.0
LOJA,Espíndola,Urbana,677,574.0,7.0,3.0,12.0,44,20.0,17.0
LOJA,Espíndola,Rural,3733,771.0,39.0,4.0,82.0,1157,59.0,1621.0
LOJA,Gonzanamá,Urbana,615,515.0,11.0,2.0,4.0,33,37.0,13.0
LOJA,Gonzanamá,Rural,3569,1013.0,26.0,6.0,157.0,858,61.0,1448.0
LOJA,Macará,Urbana,3841,2912.0,64.0,16.0,152.0,200,277.0,220.0
LOJA,Macará,Rural,1775,337.0,12.0,2.0,53.0,540,21.0,810.0
LOJA,Paltas,Urbana,2354,1790.0,20.0,6.0,29.0,181,193.0,135.0
LOJA,Paltas,Rural,4779,1454.0,51.0,9.0,172.0,1370,142.0,1581.0
LOJA,Puyango,Urbana,1912,1576.0,49.0,6.0,4.0,110,118.0,49.0
LOJA,Puyango,Rural,3201,1185.0,49.0,3.0,73.0,1155,68.0,668.0
LOJA,Saraguro,Urbana,1408,987.0,40.0,6.0,16.0,181,79.0,99.0
LOJA,Saraguro,Rural,7489,2151.0,97.0,16.0,153.0,2237,144.0,2691.0
LOJA,Sozoranga,Urbana,287,226.0,2.0,0.0,8.0,22,21.0,8.0
LOJA,Sozoranga,Rural,1764,282.0,12.0,1.0,66.0,423,18.0,962.0
