provincia,cantón,área_de_residencia,asiste_actualmente_a_la_educación_regular_o_formal?,numero_total_de_personas,ninguno,centro_de_desarrollo_infantil/creciendo_con_nuestros_hijos/guardería,número_total_de_personas_que_asisten_o_asistieron_a_educación_inicial,número_total_de_personas_que_asisten_o_asistieron_a_alfabetización,número_total_de_personas_que_asisten_o_asistieron_a_educación_general_básica,número_total_de_personas_que_asisten_o_asistieron_a_bachillerato,número_total_de_personas_que_asisten_o_asistieron_a_ciclo_postbachillerato,número_total_de_personas_que_asisten_o_asistieron_a_educación_técnica_o_tecnológica,número_total_de_personas_que_asisten_o_asistieron_a_educación_superior,número_total_de_personas_que_asisten_o_asistieron_a_maestría/posgrado,número_total_de_personas_que_asisten_o_asistieron_a_phd/doctorado
BOLIVAR,Caluma,Urbana,No asiste,5346,591.0,12.0,15.0,9.0,1406,1906,26.0,123.0,1113.0,141.0,4.0
BOLIVAR,Caluma,Rural,Asiste,2206,0.0,39.0,118.0,0.0,1288,495,0.0,18.0,248.0,0.0,0.0
BOLIVAR,Caluma,Rural,No asiste,5517,717.0,4.0,13.0,28.0,2400,1752,13.0,60.0,498.0,30.0,2.0
BOLIVAR,Las Naves,Urbana,Asiste,606,0.0,16.0,37.0,0.0,342,101,1.0,9.0,100.0,0.0,0.0
BOLIVAR,Las Naves,Urbana,No asiste,1378,138.0,8.0,2.0,7.0,444,491,3.0,39.0,220.0,25.0,1.0
BOLIVAR,Las Naves,Rural,Asiste,1449,0.0,92.0,74.0,1.0,851,277,1.0,24.0,128.0,1.0,0.0
BOLIVAR,Las Naves,Rural,No asiste,3579,449.0,26.0,11.0,18.0,1569,1242,3.0,47.0,206.0,8.0,0.0
CANAR,Azogues,Urbana,Asiste,12252,0.0,468.0,753.0,4.0,5787,1911,55.0,172.0,3056.0,43.0,3.0
CANAR,Azogues,Urbana,No asiste,23511,1545.0,62.0,31.0,43.0,5809,7018,173.0,664.0,6124.0,1952.0,90.0
CANAR,Azogues,Rural,Asiste,12626,0.0,819.0,821.0,3.0,6862,2063,68.0,179.0,1790.0,19.0,2.0
CANAR,Azogues,Rural,No asiste,26126,3009.0,127.0,66.0,168.0,12488,6472,97.0,463.0,2531.0,662.0,43.0
CANAR,Biblián,Urbana,Asiste,1894,0.0,94.0,128.0,0.0,925,287,4.0,34.0,413.0,9.0,0.0
CANAR,Biblián,Urbana,No asiste,3834,315.0,5.0,5.0,7.0,1349,1111,27.0,97.0,719.0,193.0,6.0
CANAR,Biblián,Rural,Asiste,4359,0.0,320.0,230.0,0.0,2401,770,17.0,46.0,568.0,7.0,0.0
CANAR,Biblián,Rural,No asiste,8765,1512.0,38.0,19.0,77.0,4550,1816,17.0,117.0,548.0,70.0,1.0
CANAR,Cañar,Urbana,Asiste,4498,0.0,151.0,251.0,1.0,2167,775,12.0,49.0,1069.0,21.0,2.0
CANAR,Cañar,Urbana,No asiste,8650,664.0,23.0,14.0,50.0,2194,2373,33.0,348.0,2447.0,488.0,16.0
CANAR,Cañar,Rural,Asiste,12284,0.0,794.0,747.0,9.0,7504,2021,21.0,67.0,1111.0,10.0,0.0
CANAR,Cañar,Rural,No asiste,26718,5587.0,118.0,100.0,429.0,13067,5429,27.0,265.0,1532.0,158.0,6.0
CANAR,La Troncal,Urbana,Asiste,13496,0.0,664.0,959.0,3.0,7940,2319,54.0,145.0,1401.0,10.0,1.0
CANAR,La Troncal,Urbana,No asiste,26104,3337.0,100.0,92.0,58.0,10008,8727,115.0,523.0,2646.0,478.0,20.0
CANAR,La Troncal,Rural,Asiste,7332,0.0,330.0,597.0,1.0,4523,1154,8.0,48.0,665.0,5.0,1.0
CANAR,La Troncal,Rural,No asiste,15171,2189.0,63.0,57.0,52.0,6512,4750,46.0,200.0,1141.0,153.0,8.0
CANAR,El Tambo,Urbana,Asiste,1895,0.0,104.0,100.0,0.0,1059,315,2.0,17.0,294.0,1.0,3.0
CANAR,El Tambo,Urbana,No asiste,3307,380.0,18.0,9.0,42.0,1134,936,16.0,85.0,593.0,92.0,2.0
CANAR,El Tambo,Rural,Asiste,1450,0.0,113.0,91.0,3.0,821,266,0.0,11.0,143.0,2.0,0.0
CANAR,El Tambo,Rural,No asiste,2633,492.0,12.0,1.0,54.0,1193,650,1.0,19.0,185.0,24.0,2.0
CANAR,Déleg,Urbana,Asiste,194,0.0,12.0,10.0,0.0,97,34,2.0,1.0,38.0,0.0,0.0
CANAR,Déleg,Urbana,No asiste,451,37.0,2.0,2.0,0.0,156,148,2.0,10.0,78.0,16.0,0.0
CANAR,Déleg,Rural,Asiste,1655,0.0,95.0,119.0,6.0,963,320,2.0,21.0,129.0,0.0,0.0
CANAR,Déleg,Rural,No asiste,3746,587.0,21.0,5.0,39.0,1834,980,16.0,47.0,188.0,26.0,3.0
CANAR,Suscal,Urbana,Asiste,298,0.0,16.0,21.0,0.0,151,59,0.0,2.0,49.0,0.0,0.0
CANAR,Suscal,Urbana,No asiste,714,133.0,1.0,5.0,13.0,221,215,1.0,10.0,105.0,10.0,0.0
CANAR,Suscal,Rural,Asiste,1076,0.0,101.0,72.0,0.0,658,167,2.0,4.0,71.0,1.0,0.0
CANAR,Suscal,Rural,No asiste,2539,937.0,24.0,9.0,31.0,951,507,5.0,17.0,55.0,3.0,0.0
CARCHI,Tulcán,Urbana,Asiste,17680,0.0,364.0,933.0,5.0,8772,3114,91.0,493.0,3862.0,42.0,4.0
CARCHI,Tulcán,Urbana,No asiste,39039,2587.0,72.0,72.0,46.0,12600,12714,123.0,1422.0,7940.0,1386.0,77.0
CARCHI,Tulcán,Rural,Asiste,10379,0.0,229.0,538.0,1.0,6389,1792,46.0,171.0,1204.0,7.0,2.0
CARCHI,Tulcán,Rural,No asiste,25277,3741.0,64.0,106.0,64.0,12902,6302,52.0,381.0,1516.0,143.0,6.0
CARCHI,Bolívar,Urbana,Asiste,974,0.0,21.0,69.0,0.0,515,197,5.0,25.0,141.0,1.0,0.0
CARCHI,Bolívar,Urbana,No asiste,2403,115.0,7.0,7.0,3.0,1141,755,10.0,66.0,267.0,31.0,1.0
CARCHI,Bolívar,Rural,Asiste,3448,0.0,87.0,225.0,0.0,1982,737,11.0,73.0,331.0,2.0,0.0
CARCHI,Bolívar,Rural,No asiste,8852,809.0,56.0,18.0,26.0,4848,2492,12.0,157.0,397.0,35.0,2.0
CARCHI,Espejo,Urbana,Asiste,1644,0.0,59.0,122.0,0.0,822,288,6.0,37.0,309.0,1.0,0.0
CARCHI,Espejo,Urbana,No asiste,3537,240.0,4.0,4.0,5.0,1097,1266,30.0,123.0,681.0,85.0,2.0
CARCHI,Espejo,Rural,Asiste,2690,0.0,123.0,167.0,0.0,1427,524,5.0,61.0,383.0,0.0,0.0
CARCHI,Espejo,Rural,No asiste,6651,558.0,18.0,23.0,23.0,3284,2107,5.0,108.0,493.0,32.0,0.0
CARCHI,Mira,Urbana,Asiste,1110,0.0,31.0,66.0,0.0,500,204,5.0,40.0,263.0,1.0,0.0
CARCHI,Mira,Urbana,No asiste,2581,113.0,0.0,4.0,3.0,819,817,11.0,85.0,619.0,103.0,7.0
CARCHI,Mira,Rural,Asiste,2318,0.0,73.0,137.0,0.0,1323,517,9.0,45.0,212.0,1.0,1.0
CARCHI,Mira,Rural,No asiste,6718,796.0,27.0,19.0,46.0,3696,1674,21.0,128.0,270.0,39.0,2.0
CARCHI,Montúfar,Urbana,Asiste,4452,0.0,137.0,263.0,3.0,2330,745,18.0,100.0,850.0,6.0,0.0
CARCHI,Montúfar,Urbana,No asiste,10045,777.0,43.0,34.0,27.0,3464,3080,30.0,365.0,1962.0,248.0,15.0
CARCHI,Montúfar,Rural,Asiste,4322,0.0,170.0,216.0,0.0,2443,809,56.0,66.0,561.0,1.0,0.0
CARCHI,Montúfar,Rural,No asiste,10771,785.0,39.0,27.0,23.0,6204,2769,15.0,142.0,714.0,52.0,1.0
CARCHI,San Pedro de Huaca,Urbana,Asiste,1392,0.0,23.0,107.0,3.0,752,219,8.0,26.0,253.0,1.0,0.0
CARCHI,San Pedro de Huaca,Urbana,No asiste,3100,251.0,3.0,12.0,9.0,1341,968,5.0,64.0,396.0,50.0,1.0
CARCHI,San Pedro de Huaca,Rural,Asiste,1006,0.0,36.0,53.0,0.0,559,189,9.0,17.0,143.0,0.0,0.0
CARCHI,San Pedro de Huaca,Rural,No asiste,2439,186.0,1.0,8.0,11.0,1414,616,4.0,30.0,152.0,17.0,0.0
COTOPAXI,Latacunga,Urbana,Asiste,25272,0.0,382.0,1238.0,1.0,12038,4173,135.0,513.0,6693.0,90.0,9.0
COTOPAXI,Latacunga,Urbana,No asiste,51995,4748.0,65.0,109.0,123.0,11194,15365,426.0,2358.0,13998.0,3383.0,226.0
COTOPAXI,Latacunga,Rural,Asiste,47428,0.0,1479.0,2294.0,110.0,26227,8997,146.0,1169.0,6964.0,38.0,4.0
COTOPAXI,Latacunga,Rural,No asiste,92566,13223.0,347.0,240.0,1083.0,36605,28184,329.0,2826.0,8529.0,1134.0,66.0
COTOPAXI,La Maná,Urbana,Asiste,10908,0.0,358.0,467.0,10.0,6252,1981,22.0,187.0,1620.0,11.0,0.0
COTOPAXI,La Maná,Urbana,No asiste,20832,2933.0,126.0,67.0,57.0,7008,7092,41.0,393.0,2722.0,379.0,14.0
