provincia,cantón,fecha,homicidios
ZAMORA CHINCHIPE,Yantzaza (Yanzatza),2020-02-01,0
ZAMORA CHINCHIPE,El Pangui,2020-02-01,0
ZAMORA CHINCHIPE,Centinela Del Condor,2020-02-01,0
ZAMORA CHINCHIPE,Palanda,2020-02-01,0
ZAMORA CHINCHIPE,Paquisha,2020-02-01,0
GALAPAGOS,San Cristobal,2020-02-01,0
GALAPAGOS,Isabela,2020-02-01,0
GALAPAGOS,Santa Cruz,2020-02-01,0
SUCUMBIOS,Lago Agrio,2020-02-01,2
SUCUMBIOS,Gonzalo Pizarro,2020-02-01,0
SUCUMBIOS,Putumayo,2020-02-01,0
SUCUMBIOS,Shushufindi,2020-02-01,0
SUCUMBIOS,Sucumbios,2020-02-01,0
SUCUMBIOS,Cascales,2020-02-01,0
SUCUMBIOS,Cuyabeno,2020-02-01,1
ORELLANA,Orellana,2020-02-01,0
ORELLANA,Aguarico,2020-02-01,0
ORELLANA,La Joya De Los Sachas,2020-02-01,0
ORELLANA,Loreto,2020-02-01,0
SANTO DOMINGO DE LOS TSACHILAS,Santo Domingo,2020-02-01,5
SANTO DOMINGO DE LOS TSACHILAS,La Concordia,2020-02-01,0
SANTA ELENA,Santa Elena,2020-02-01,1
SANTA ELENA,La Libertad,2020-02-01,0
SANTA ELENA,Salinas,2020-02-01,1
TOTAL NACIONAL,Total Nacional,2020-02-01,116
AZUAY,Cuenca,2020-03-01,2
AZUAY,Giron,2020-03-01,0
AZUAY,Gualaceo,2020-03-01,0
AZUAY,Nabon,2020-03-01,0
AZUAY,Paute,2020-03-01,0
AZUAY,Pucara,2020-03-01,0
AZUAY,San Fernando,2020-03-01,0
AZUAY,Santa Isabel,2020-03-01,0
AZUAY,Sigsig,2020-03-01,0
AZUAY,Oña,2020-03-01,0
AZUAY,Chordeleg,2020-03-01,0
AZUAY,El Pan,2020-03-01,0
AZUAY,Sevilla De Oro,2020-03-01,0
AZUAY,Guachapala,2020-03-01,0
AZUAY,Camilo Ponce Enriquez,2020-03-01,0
BOLIVAR,Guaranda,2020-03-01,0
BOLIVAR,Chillanes,2020-03-01,0
BOLIVAR,Chimbo,2020-03-01,0
BOLIVAR,Echeandia,2020-03-01,0
BOLIVAR,San Miguel,2020-03-01,0
BOLIVAR,Caluma,2020-03-01,0
BOLIVAR,Las Naves,2020-03-01,0
CANAR,Azogues,2020-03-01,0
CANAR,Biblian,2020-03-01,0
CANAR,Cañar,2020-03-01,1
CANAR,La Troncal,2020-03-01,2
CANAR,El Tambo,2020-03-01,0
CANAR,Deleg,2020-03-01,0
CANAR,Suscal,2020-03-01,0
CARCHI,Tulcan,2020-03-01,0
CARCHI,Bolivar,2020-03-01,0
CARCHI,Espejo,2020-03-01,0
CARCHI,Mira,2020-03-01,0
CARCHI,Montufar,2020-03-01,0
CARCHI,San Pedro De Huaca,2020-03-01,0
COTOPAXI,Latacunga,2020-03-01,0
COTOPAXI,La Mana,2020-03-01,0
COTOPAXI,Pangua,2020-03-01,0
COTOPAXI,Pujili,2020-03-01,0
COTOPAXI,Salcedo,2020-03-01,0
COTOPAXI,Saquisili,2020-03-01,0
COTOPAXI,Sigchos,2020-03-01,0
CHIMBORAZO,Riobamba,2020-03-01,1
CHIMBORAZO,Alausi,2020-03-01,0
CHIMBORAZO,Colta,2020-03-01,0
CHIMBORAZO,Chambo,2020-03-01,0
CHIMBORAZO,Chunchi,2020-03-01,0
CHIMBORAZO,Guamote,2020-03-01,0
CHIMBORAZO,Guano,2020-03-01,0
CHIMBORAZO,Pallatanga,2020-03-01,0
CHIMBORAZO,Penipe,2020-03-01,0
CHIMBORAZO,Cumanda,2020-03-01,1
EL ORO,Machala,2020-03-01,5
EL ORO,Arenillas,2020-03-01,0
EL ORO,Atahualpa,2020-03-01,0
EL ORO,Balsas,2020-03-01,0
EL ORO,Chilla,2020-03-01,0
EL ORO,El Guabo,2020-03-01,0
EL ORO,Huaquillas,2020-03-01,1
EL ORO,Marcabeli,2020-03-01,0
EL ORO,Pasaje,2020-03-01,1
EL ORO,Piñas,2020-03-01,0
EL ORO,Portovelo,2020-03-01,0
