provincia,cantón,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25
ESMERALDAS,Muisne,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,2,0,1,0,1,1,1,0,0,0,0,1,3,0,0,0,1,0,1,0,0,0,0,1,0
ESMERALDAS,Quininde,1,1,0,0,0,2,1,4,1,1,1,1,2,1,1,2,0,0,0,1,3,1,4,2,4,2,3,1,4,4,0,6,8,4,2,5,3,5,8,8,0,4,4,4,3,10,9,7,6,1,3,1,3,1,2,2,1,1,1,5,2,2,11,3
ESMERALDAS,San Lorenzo,0,0,0,0,1,2,1,1,2,0,2,3,0,2,0,0,0,1,1,2,2,2,3,7,7,5,3,5,5,4,4,3,5,3,7,3,2,5,5,0,2,6,2,0,5,2,1,0,3,0,2,1,4,2,3,0,5,2,0,3,1,0,4,2
ESMERALDAS,Atacames,0,0,1,0,1,0,0,0,0,2,2,1,1,1,0,1,3,3,1,2,1,2,2,1,3,1,3,1,1,0,3,0,0,1,0,2,1,0,6,5,3,1,2,2,2,5,7,4,3,2,1,0,1,2,1,3,3,0,3,4,1,2,0,1
ESMERALDAS,Rioverde,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,2,2,0,0,4,6,2,0,0,0,4,1,1,1,0,1,1,1,1,0,0,0,5,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
GUAYAS,Guayaquil,28,25,18,23,25,28,30,39,27,37,30,19,29,70,54,49,49,49,59,55,182,75,125,69,81,100,96,123,123,100,108,129,136,138,138,173,166,186,219,217,221,234,222,154,229,164,178,192,136,89,144,140,156,176,162,182,166,185,191,233,241,218,284,214
GUAYAS,Alfredo Baquerizo Moreno (Jujan),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,4,1,0,1,2,1,1,0,0,0,1,1,1,1,4,2,3,2,0,4,2,2,2,7,1,0,1,0,4,1,0,0,0,4,2,1,1,4,0
GUAYAS,Balao,1,1,1,0,1,1,0,0,0,1,1,0,2,0,2,0,1,0,1,1,0,0,1,0,3,0,0,0,2,0,0,1,0,3,0,0,4,1,3,6,4,2,2,1,4,6,3,8,1,0,1,1,3,3,2,11,3,5,1,4,5,15,15,5
GUAYAS,Balzar,0,1,0,0,1,1,1,0,0,1,2,0,1,2,0,1,1,0,0,2,2,0,2,2,1,4,5,0,1,8,2,7,5,9,5,14,6,8,0,0,2,7,4,7,4,2,2,3,0,1,3,0,1,4,2,4,0,6,4,9,3,9,4,2
GUAYAS,Colimes,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,3,1,0,0,0,1,4,0,0,0,2,0,0,0,0,3,0,0,3,0,0,0,1,1,2,1,2,2,0,1,0,2,1,1,0
